amount,time
1982.45,Tue Feb 25 12:29:34 2020
1982.00,Tue Feb 25 12:29:36 2020
1982.05,Tue Feb 25 12:29:38 2020
1982.40,Tue Feb 25 12:29:40 2020
1981.30,Tue Feb 25 12:29:42 2020
1981.10,Tue Feb 25 12:29:44 2020
1981.80,Tue Feb 25 12:29:46 2020
1981.80,Tue Feb 25 12:29:48 2020
1981.80,Tue Feb 25 12:29:50 2020
1981.30,Tue Feb 25 12:29:52 2020
1981.80,Tue Feb 25 12:29:54 2020
1981.30,Tue Feb 25 12:29:56 2020
1981.80,Tue Feb 25 12:29:58 2020
1981.30,Tue Feb 25 12:30:00 2020
1981.70,Tue Feb 25 12:30:02 2020
1981.70,Tue Feb 25 12:30:04 2020
1981.70,Tue Feb 25 12:30:06 2020
1981.70,Tue Feb 25 12:30:08 2020
