percentagee,amount,time
2.04,1962.70,1582609290734
1.98,1961.55,1582609293769
2.00,1962.00,1582609296747
2.05,1962.90,1582609299730
2.00,1962.00,1582609302765
1.98,1961.60,1582609305770
2.00,1962.00,1582609308766
2.01,1962.10,1582609311726
2.01,1962.25,1582609314765
1.97,1961.40,1582609317771
1.95,1961.10,1582609320728
2.02,1962.40,1582609323768
2.02,1962.35,1582609326728
2.02,1962.35,1582609329767
2.00,1962.00,1582609332764
2.00,1962.00,1582609335765
2.00,1962.00,1582609338764
1.97,1961.35,1582609341765
2.03,1962.50,1582609344765
2.00,1962.00,1582609347764
2.00,1962.00,1582609350746
2.00,1961.95,1582609353764
1.98,1961.50,1582609356730
2.00,1962.00,1582609359730
2.02,1962.45,1582609362754
1.97,1961.45,1582609365764
2.00,1961.95,1582609368769
2.00,1961.95,1582609371764
1.97,1961.45,1582609374755
1.97,1961.45,1582609377762
2.00,1962.00,1582609380763
2.00,1962.00,1582609383762
1.97,1961.45,1582609386761
2.00,1962.00,1582609389763
2.00,1962.00,1582609392762
2.00,1962.00,1582609395741
2.00,1961.95,1582609398766
2.00,1961.95,1582609401761
2.00,1961.95,1582609404762
2.00,1961.95,1582609407730
2.00,1961.95,1582609410760
2.00,1961.95,1582609413762
2.00,1962.00,1582609416745
2.00,1961.95,1582609419761
1.98,1961.55,1582609422761
2.00,1962.00,1582609425739
2.00,1962.00,1582609428733
2.00,1962.00,1582609431762
2.00,1962.00,1582609434740
2.00,1962.00,1582609437724
2.00,1962.00,1582609440764
2.00,1962.00,1582609443765
2.00,1962.00,1582609446738
2.00,1962.00,1582609449765
2.00,1962.00,1582609452761
1.96,1961.15,1582609455722
1.99,1961.85,1582609458764
2.00,1962.00,1582609461764
2.00,1962.00,1582609464764
2.00,1962.05,1582609467763
2.03,1962.50,1582609470738
2.03,1962.55,1582609473764
2.00,1962.00,1582609476761
2.05,1962.90,1582609479763
2.01,1962.10,1582609482759
2.05,1962.85,1582609485738
2.03,1962.55,1582609488721
2.05,1963.00,1582609491764
2.04,1962.80,1582609494764
2.04,1962.80,1582609497725
2.05,1963.00,1582609500725
2.05,1962.90,1582609503745
2.10,1963.90,1582609506724
2.06,1963.20,1582609509764
2.11,1964.00,1582609512721
2.11,1964.00,1582609515762
2.11,1964.00,1582609518760
2.07,1963.30,1582609521752
2.10,1963.90,1582609524732
2.15,1964.90,1582609527764
2.21,1965.95,1582609530763
2.40,1969.70,1582609533761
2.36,1968.90,1582609536763
2.26,1967.00,1582609539737
2.24,1966.50,1582609542762
2.25,1966.85,1582609545721
2.26,1967.00,1582609548765
2.25,1966.80,1582609551740
2.24,1966.50,1582609554762
2.29,1967.60,1582609557761
2.25,1966.70,1582609560727
2.21,1966.00,1582609563739
2.16,1965.00,1582609566761
2.12,1964.20,1582609569762
2.15,1964.80,1582609572762
2.14,1964.70,1582609575760
2.14,1964.60,1582609578754
2.11,1964.00,1582609581762
2.11,1964.00,1582609584747
2.11,1964.00,1582609587761
2.11,1964.00,1582609590735
2.16,1965.00,1582609593759
2.19,1965.70,1582609596739
2.28,1967.45,1582609599721
2.26,1967.00,1582609602759
2.26,1967.00,1582609605755
2.29,1967.50,1582609608759
2.29,1967.50,1582609611761
2.37,1969.00,1582609614760
2.31,1968.00,1582609617742
2.36,1968.90,1582609620739
2.30,1967.80,1582609623758
2.31,1968.00,1582609626756
2.29,1967.50,1582609629759
2.31,1968.00,1582609632715
2.31,1968.00,1582609635724
2.30,1967.80,1582609638745
2.26,1967.00,1582609641759
2.26,1967.05,1582609644720
2.21,1966.10,1582609647728
2.22,1966.15,1582609650760
2.20,1965.85,1582609653728
2.25,1966.80,1582609656759
2.30,1967.80,1582609659759
2.21,1966.10,1582609662756
2.19,1965.55,1582609664795
2.26,1967.00,1582609667794
2.25,1966.70,1582609670794
2.26,1966.90,1582609673796
2.26,1966.95,1582609676797
2.22,1966.15,1582609679798
2.30,1967.75,1582609683736
2.22,1966.15,1582609686756
2.26,1967.00,1582609689721
2.30,1967.70,1582609692756
2.27,1967.10,1582609695721
2.22,1966.15,1582609698758
2.23,1966.30,1582609701758
2.24,1966.65,1582609704729
2.21,1966.00,1582609707756
2.18,1965.50,1582609710717
2.16,1965.00,1582609713755
2.21,1966.00,1582609716756
2.18,1965.40,1582609719755
2.18,1965.40,1582609722755
2.18,1965.40,1582609725718
2.22,1966.25,1582609728730
2.16,1965.00,1582609731714
2.21,1966.00,1582609734753
2.25,1966.85,1582609737754
2.25,1966.85,1582609740732
2.21,1966.00,1582609743754
2.24,1966.50,1582609746791
2.24,1966.50,1582609749733
2.25,1966.85,1582609752755
2.21,1966.00,1582609755755
2.21,1966.05,1582609758745
2.21,1966.05,1582609761756
2.22,1966.15,1582609764753
2.24,1966.50,1582609767719
2.24,1966.50,1582609770733
2.22,1966.15,1582609773713
2.21,1966.10,1582609776753
2.22,1966.25,1582609779753
2.21,1966.05,1582609782726
2.21,1966.10,1582609785716
2.24,1966.50,1582609788753
2.21,1966.00,1582609791735
2.17,1965.20,1582609794727
2.17,1965.20,1582609797753
2.21,1965.95,1582609800754
2.16,1965.10,1582609803754
2.16,1965.10,1582609806716
2.20,1965.80,1582609809713
2.20,1965.75,1582609812754
2.17,1965.15,1582609815731
2.17,1965.20,1582609818732
2.21,1966.00,1582609821750
2.20,1965.80,1582609824752
2.21,1966.00,1582609827714
2.21,1966.00,1582609830753
2.16,1965.00,1582609833714
2.20,1965.75,1582609836752
2.16,1965.00,1582609839710
