percentage,amount,time
3.04,1981.90,1582613794629
3.04,1981.90,1582613796629
3.04,1982.00,1582613798598
3.00,1981.20,1582613800584
3.04,1982.00,1582613802626
3.04,1981.90,1582613804628
3.00,1981.25,1582613806628
3.04,1982.00,1582613808607
3.02,1981.50,1582613810625
3.04,1981.95,1582613812627
3.02,1981.50,1582613814630
3.00,1981.25,1582613816625
2.99,1981.00,1582613818626
2.98,1980.85,1582613820617
2.94,1980.00,1582613822625
2.89,1979.05,1582613824629
2.89,1979.05,1582613826626
2.88,1978.85,1582613828583
2.89,1979.10,1582613830586
2.91,1979.50,1582613832628
2.86,1978.50,1582613834628
3.02,1981.50,1582613836599
3.02,1981.50,1582613838624
3.02,1981.50,1582613840626
3.01,1981.35,1582613842582
3.01,1981.35,1582613844625
3.01,1981.35,1582613846624
3.01,1981.35,1582613848625
2.99,1981.05,1582613850626
2.99,1981.05,1582613852623
2.99,1981.00,1582613854598
2.96,1980.40,1582613856626
2.96,1980.35,1582613858582
2.99,1981.00,1582613860591
3.01,1981.40,1582613862616
2.96,1980.50,1582613864626
2.95,1980.30,1582613866588
3.01,1981.40,1582613868587
2.96,1980.40,1582613870625
2.99,1981.00,1582613872588
2.99,1981.00,1582613874625
2.99,1981.00,1582613876627
2.96,1980.35,1582613878603
2.99,1981.00,1582613880622
2.99,1981.00,1582613882604
2.96,1980.45,1582613884625
2.96,1980.45,1582613886626
3.00,1981.30,1582613888583
2.99,1981.10,1582613890605
2.99,1981.00,1582613892622
2.99,1981.00,1582613894594
3.02,1981.50,1582613896623
3.00,1981.30,1582613898626
3.00,1981.30,1582613900624
3.02,1981.50,1582613902582
3.02,1981.50,1582613904621
2.99,1981.05,1582613906584
3.04,1981.90,1582613908625
3.03,1981.80,1582613910625
3.04,1982.00,1582613912603
3.03,1981.80,1582613914626
3.03,1981.80,1582613916625
3.03,1981.85,1582613918586
3.04,1982.00,1582613920605
3.07,1982.50,1582613922621
3.07,1982.50,1582613924622
3.06,1982.35,1582613926616
3.09,1983.00,1582613928623
3.08,1982.70,1582613930604
3.06,1982.35,1582613932619
3.06,1982.35,1582613934621
3.06,1982.35,1582613936579
3.05,1982.25,1582613938625
3.09,1982.95,1582613940622
3.01,1981.35,1582613942622
3.04,1982.00,1582613944594
3.04,1982.00,1582613946620
3.04,1982.00,1582613948579
3.07,1982.50,1582613950583
3.07,1982.50,1582613952620
3.07,1982.50,1582613954623
3.04,1982.00,1582613956586
3.03,1981.75,1582613958594
3.08,1982.70,1582613960585
3.04,1982.00,1582613962619
3.04,1982.00,1582613964624
3.07,1982.60,1582613966619
3.07,1982.60,1582613968596
3.07,1982.60,1582613970592
3.06,1982.45,1582613972586
3.06,1982.45,1582613974623
3.04,1982.00,1582613976619
3.04,1982.05,1582613978598
3.06,1982.40,1582613980621
3.00,1981.30,1582613982620
2.99,1981.10,1582613984611
3.03,1981.80,1582613986598
3.03,1981.80,1582613988616
3.03,1981.80,1582613990617
3.00,1981.30,1582613992616
3.03,1981.80,1582613994590
3.00,1981.30,1582613996616
3.03,1981.80,1582613998621
3.00,1981.30,1582614000620
3.03,1981.70,1582614002619
3.03,1981.70,1582614004617
3.03,1981.70,1582614006617
3.03,1981.70,1582614008617
3.00,1981.30,1582614010618
2.99,1981.00,1582614012620
3.00,1981.30,1582614014621
3.00,1981.30,1582614016620
2.99,1981.00,1582614018621
2.96,1980.45,1582614020622
3.00,1981.25,1582614022618
3.00,1981.25,1582614024618
2.99,1981.00,1582614026620
3.02,1981.55,1582614028621
2.99,1981.00,1582614030618
3.03,1981.75,1582614032617
2.99,1981.00,1582614034618
3.04,1982.00,1582614036701
2.99,1981.00,1582614038580
2.97,1980.55,1582614040619
2.96,1980.45,1582614042616
3.02,1981.50,1582614044577
3.02,1981.65,1582614046618
2.97,1980.60,1582614048620
3.04,1982.00,1582614050619
2.97,1980.65,1582614052590
2.98,1980.75,1582614054620
3.04,1982.00,1582614056619
3.04,1982.00,1582614058579
3.04,1982.00,1582614060618
3.04,1981.95,1582614062620
3.06,1982.35,1582614064619
3.07,1982.60,1582614066618
3.05,1982.15,1582614068621
3.05,1982.15,1582614070613
3.05,1982.20,1582614072615
3.05,1982.25,1582614074581
3.09,1983.00,1582614076617
3.07,1982.55,1582614078619
3.09,1983.00,1582614080618
3.04,1982.00,1582614082618
3.14,1983.95,1582614084616
3.11,1983.35,1582614086619
3.09,1982.85,1582614088581
3.09,1983.00,1582614090616
3.10,1983.10,1582614092581
3.10,1983.20,1582614094617
3.14,1983.95,1582614096618
3.12,1983.45,1582614098620
3.11,1983.25,1582614100618
3.11,1983.25,1582614102617
3.13,1983.75,1582614104618
3.11,1983.25,1582614106606
3.13,1983.65,1582614108618
3.04,1982.00,1582614110618
3.11,1983.30,1582614112589
3.06,1982.40,1582614114607
3.09,1983.00,1582614116614
3.11,1983.25,1582614118580
3.09,1983.00,1582614120612
3.09,1983.00,1582614122581
3.09,1983.00,1582614124574
3.04,1982.05,1582614126617
3.06,1982.35,1582614128578
3.09,1983.00,1582614130591
3.05,1982.20,1582614132602
3.05,1982.15,1582614134582
3.05,1982.15,1582614136617
3.05,1982.15,1582614138615
3.04,1982.00,1582614140617
3.05,1982.15,1582614142617
3.02,1981.55,1582614144587
3.04,1982.00,1582614146614
3.05,1982.15,1582614148578
3.05,1982.15,1582614150616
3.09,1983.00,1582614152585
3.07,1982.50,1582614154598
3.04,1982.00,1582614156617
3.04,1982.00,1582614158614
3.06,1982.45,1582614160616
3.06,1982.45,1582614162615
3.07,1982.50,1582614164616
3.09,1982.95,1582614166614
3.06,1982.45,1582614168614
3.04,1982.05,1582614170616
3.09,1982.95,1582614172616
3.09,1983.00,1582614174611
3.09,1983.00,1582614176572
3.06,1982.45,1582614178575
3.06,1982.45,1582614180615
3.09,1983.00,1582614182616
3.06,1982.45,1582614184573
3.06,1982.45,1582614186614
3.09,1983.00,1582614188616
3.11,1983.25,1582614190574
3.12,1983.50,1582614192614
3.12,1983.50,1582614194614
3.14,1983.95,1582614196615
3.09,1983.00,1582614198616
3.09,1983.00,1582614200613
3.09,1983.00,1582614202598
3.08,1982.65,1582614204614
3.12,1983.50,1582614206613
3.15,1984.00,1582614208612
3.10,1983.15,1582614210613
3.10,1983.15,1582614212613
3.11,1983.30,1582614214597
3.11,1983.30,1582614216613
3.12,1983.60,1582614218615
3.12,1983.60,1582614220613
3.06,1982.45,1582614222614
3.09,1982.95,1582614224614
3.09,1983.00,1582614226613
3.09,1983.00,1582614228613
3.09,1983.00,1582614230580
3.09,1983.00,1582614232615
3.09,1983.00,1582614234612
3.09,1983.00,1582614236613
3.07,1982.50,1582614238614
3.09,1983.00,1582614240609
3.09,1983.00,1582614242613
3.10,1983.15,1582614244612
3.09,1983.00,1582614246614
3.12,1983.50,1582614248575
3.09,1983.00,1582614250613
3.07,1982.60,1582614252597
3.07,1982.60,1582614254575
