amount,time
794.00,Wed Feb 26 11:48:29 2020
794.05,Wed Feb 26 11:48:31 2020
794.05,Wed Feb 26 11:48:33 2020
794.05,Wed Feb 26 11:48:35 2020
793.95,Wed Feb 26 11:48:37 2020
793.95,Wed Feb 26 11:48:39 2020
794.00,Wed Feb 26 11:48:41 2020
794.00,Wed Feb 26 11:48:43 2020
793.85,Wed Feb 26 11:48:45 2020
793.90,Wed Feb 26 11:48:47 2020
793.90,Wed Feb 26 11:48:49 2020
794.00,Wed Feb 26 11:48:51 2020
793.95,Wed Feb 26 11:48:53 2020
793.95,Wed Feb 26 11:48:55 2020
793.95,Wed Feb 26 11:48:57 2020
794.00,Wed Feb 26 11:48:59 2020
794.00,Wed Feb 26 11:49:01 2020
794.00,Wed Feb 26 11:49:03 2020
794.00,Wed Feb 26 11:49:05 2020
794.05,Wed Feb 26 11:49:07 2020
794.10,Wed Feb 26 11:49:09 2020
794.10,Wed Feb 26 11:49:11 2020
794.00,Wed Feb 26 11:49:13 2020
794.00,Wed Feb 26 11:49:15 2020
794.10,Wed Feb 26 11:49:17 2020
794.15,Wed Feb 26 11:49:19 2020
794.15,Wed Feb 26 11:49:21 2020
794.05,Wed Feb 26 11:49:23 2020
794.05,Wed Feb 26 11:49:25 2020
794.05,Wed Feb 26 11:49:27 2020
794.00,Wed Feb 26 11:49:29 2020
794.05,Wed Feb 26 11:49:31 2020
794.05,Wed Feb 26 11:49:33 2020
794.05,Wed Feb 26 11:49:35 2020
794.05,Wed Feb 26 11:49:37 2020
794.05,Wed Feb 26 11:49:39 2020
793.95,Wed Feb 26 11:49:41 2020
793.95,Wed Feb 26 11:49:43 2020
793.90,Wed Feb 26 11:49:45 2020
794.00,Wed Feb 26 11:49:47 2020
794.00,Wed Feb 26 11:49:49 2020
794.00,Wed Feb 26 11:49:51 2020
793.95,Wed Feb 26 11:49:53 2020
794.00,Wed Feb 26 11:49:55 2020
794.00,Wed Feb 26 11:49:57 2020
794.00,Wed Feb 26 11:49:59 2020
794.05,Wed Feb 26 11:50:01 2020
794.00,Wed Feb 26 11:50:03 2020
794.15,Wed Feb 26 11:50:05 2020
794.00,Wed Feb 26 11:50:07 2020
794.05,Wed Feb 26 11:50:09 2020
794.05,Wed Feb 26 11:50:11 2020
794.05,Wed Feb 26 11:50:13 2020
794.05,Wed Feb 26 11:50:15 2020
794.05,Wed Feb 26 11:50:17 2020
794.00,Wed Feb 26 11:50:19 2020
